"species","x","y"
"solanum acaule acaule",-74.34,-13.2652
"solanum acaule acaule BITTER",-71.0463,-14.4747
"Solanum acaule f. acaule",-66.38333,-22.23333
"solanum acaule acaule BITTER",-71.35,-15.98
"Solanum acaule f. acaule",-66.11667,-24.31667
"Solanum acaule f. acaule",-65.26667,-23.56667
"Solanum acaule f. acaule",-67.05,-17.61667
"Solanum acaule Bitter",-65.23,-22.4
"solanum acaule acaule BITTER",-69.5513,-15.1182
"Solanum acaule Bitter ssp. acaule",-65.68,-23.21
"Solanum acaule f. acaule",-65.28333,-22.23333
"Solanum acaule subsp. aemulans",-65.16667,-23.58333
"solanum acaule acaule",-76.5769,-11.4058
"Solanum acaule f. acaule",-65.71667,-21.45
"Solanum acaule f. acaule",-65.7167,-21.45
"Solanum acaule f. acaule",-65.8666,-25.1666
"solanum acaule acaule BITTER",-67.083,-18
"Solanum acaule f. acaule",-66.1833,-21.8833
"Solanum acaule f. acaule",-65.1,-23.63333
"solanum acaule acaule BITTER",-76.7661,-10.5744
"solanum acaule acaule BITTER",-76.3,-12.2
"solanum acaule acaule",-65.05,-21.517
"Solanum acaule subsp. punae",-75.3667,-11.6
"solanum acaule acaule BITTER",-76.62,-11.8
"solanum acaule acaule BITTER",-66.05,-17.233
"Solanum acaule f. acaule",-66.93333,-17.96667
"Solanum acaule f. acaule",-64.95,-23.16667
"Solanum acaule f. acaule",-65.16667,-23.1
"Solanum acaule subsp. aemulans",-65.21667,-23.58333
"solanum acaule acaule",-74.12,-14.68
"Solanum acaule f. acaule",-67.85,-17.03333
"Solanum acaule f. acaule",-66.0333,-24.5
"solanum acaule acaule BITTER",-66.533,-17.667
"Solanum acaule Bitter",-65.75,-19.58
"solanum acaule acaule BITTER",-67.7,-17.117
"Solanum acaule f. acaule",-68.85,-17.03333
"Solanum acaule f. acaule",-66.95,-18.6333
"Solanum acaule f. acaule",-65.2,-23.5833
"Solanum acaule f. acaule",-65.33333,-23.58333
"solanum acaule acaule",-69.5513,-15.1182
"solanum acaule acaule",-70.7719,-15.7477
"Solanum acaule f. acaule",-65.25,-22.2166
"solanum acaule acaule",-74.12,-14.68
"Solanum acaule Bitter",-66.13,-17.38
"solanum acaule acaule",-74.12,-14.68
"Solanum acaule f. acaule",-66.1167,-21.8833
"solanum acaule acaule BITTER",-66.467,-17.667
"Solanum acaule f. acaule",-68.85,-15.71667
"solanum acaule acaule BITTER",-68.7,-16.0333
"Solanum acaule f. acaule",-66.1833,-21.8833
"Solanum acaule subsp. aemulans",-65.2833,-23.7166
"solanum acaule acaule",-70.033,-15.833
"solanum acaule acaule BITTER",-71.0497,-15.0319
"Solanum acaule f. acaule",-66.5,-17.1667
"Solanum acaule f. acaule",-67.6166,-18.15
"Solanum acaule f. acaule",-76.63333,-11.41667
"Solanum acaule subsp. aemulans",-67.7,-28.9666
"Solanum acaule f. acaule",-65.75,-26.7667
"solanum acaule acaule",-68.7667,-16.0167
"Solanum acaule f. acaule",-71.4,-14.4833
"Solanum acaule f. acaule",-65.5833,-23.9166
"solanum acaule acaule BITTER",-69.0833,-14.75
"Solanum acaule f. acaule",-65.6666,-24.1
"Solanum acaule Bitter",-68.03,-16.37
"Solanum acaule f. acaule",-65.2,-22.26667
"Solanum acaule f. acaule",-71.0666,-14.4666
"solanum acaule acaule",-68.49,-16.84
"solanum acaule acaule",-76.7661,-10.5744
"solanum acaule acaule",-73.0952,-13.6488
"Solanum acaule Bitter",-65.23,-21.8
"Solanum acaule f. acaule",-65.03333,-22.15
"solanum acaule acaule BITTER",-67.333,-17.083
"Solanum acaule f. acaule",-65.11667,-23.11667
"solanum acaule acaule",-75.7811,-12.7305
"solanum acaule acaule",-67.8,-17.2
"Solanum acaule f. acaule",-65.71667,-21.33333
"solanum acaule acaule",-74.12,-14.68
"Solanum acaule f. acaule",-65.61667,-24
"Solanum acaule Bitter",-65.68,-23.21
"Solanum acaule f. acaule",-65.25,-22.21667
"Solanum acaule f. acaule",-66.43333,-18
"Solanum acaule f. acaule",-69.06667,-15.75
"Solanum acaule Bitter",-66.08,-17.37
"solanum acaule acaule BITTER",-70.15,-15.45
"Solanum acaule f. acaule",-65.26667,-23.55
"solanum acaule acaule BITTER",-66.05,-17.25
"solanum acaule acaule BITTER",-77.033,-9.4
"Solanum acaule f. acaule",-66.5333,-17.6666
"Solanum acaule Bitter",-66.65,-17.62
"Solanum acaule Bitter",-67.88,-27.51
"Solanum acaule f. acaule",-68.58333,-17.08333
"Solanum acaule f. acaule",-67.6833,-28.95
"Solanum acaule Bitter",-68.65,-17.07
"Solanum acaule f. acaule",-65.63333,-23.96667
"solanum acaule acaule BITTER",-74.383,-14.667
"Solanum acaule f. acaule",-68.7666,-16.5
"Solanum acaule Bitter",-71.33,-15
"Solanum acaule f. acaule",-65.45,-22.96667
"solanum acaule acaule",-74.12,-14.68
"Solanum acaule f. acaule",-68.8167,-16.5833
"solanum acaule acaule BITTER",-73.2758,-13.8255
"solanum acaule acaule",-67.683,-17.117
"Solanum acaule f. acaule",-65.7,-22.1166
"Solanum acaule f. acaule",-73.78333,-14.56667
"Solanum acaule f. acaule",-66.1833,-22.4333
"Solanum acaule Bitter",-65.68,-23.21
"Solanum acaule f. acaule",-65.1,-23.6333
"Solanum acaule f. acaule",-65.75,-22.13333
"Solanum acaule f. acaule",-65.9,-25.2833
"solanum acaule acaule",-76.0333,-10.9166
"Solanum acaule f. acaule",-66.05,-17.23333
"Solanum acaule f. acaule",-65.0833,-22.4166
"Solanum acaule f. acaule",-66.21667,-24.48333
"Solanum acaule f. acaule",-65.6667,-22.25
"Solanum acaule f. acaule",-66.2,-24.65
"Solanum acaule subsp. aemulans",-65.21667,-23.58333
"Solanum acaule f. acaule",-68.5833,-17.0833
"Solanum acaule",-69.01028,-16.26083
"solanum acaule acaule BITTER",-73.5786,-15.5283
"Solanum acaule f. acaule",-64.91667,-23.2
"Solanum acaule f. acaule",-66.75,-17.63333
"Solanum acaule f. acaule",-67.23333,-17.65
"Solanum acaule Bitter",-66.32,-27.35
"solanum acaule acaule BITTER",-73.75,-14.6333
"Solanum acaule f. acaule",-65.05,-21.6333
"Solanum acaule f. acaule",-65.63333,-22.36667
"solanum acaule acaule",-76.3,-12.2
"Solanum acaule f. acaule",-66.05,-17.23333
"solanum acaule acaule",-74.3666,-15.3666
"Solanum acaule f. acaule",-65.8833,-18.8
"solanum acaule acaule",-66.167,-17.3
"Solanum acaule f. acaule",-66.1,-21.8833
"solanum acaule acaule",-74.12,-14.68
"Solanum acaule f. acaule",-65.65,-19.4833
"Solanum acaule f. acaule",-65.75,-26.7666
"solanum acaule acaule BITTER",-74.12,-14.68
"Solanum acaule f. acaule",-67,-18.0667
"Solanum acaule f. acaule",-66.95,-18.6333
"Solanum acaule f. acaule",-66.5,-17.1666
"solanum acaule acaule",-76.0333,-10.9166
"Solanum acaule f. acaule",-65.16667,-23.1
"Solanum acaule f. acaule",-65.3167,-22.9333
"Solanum acaule f. acaule",-68.66667,-15.78333
"solanum acaule acaule",-69.0833,-16.15
"Solanum acaule subsp. aemulans",-67.7,-28.9666
"solanum acaule acaule BITTER",-69.35,-15.01
"solanum acaule acaule BITTER",-65.23,-20.63
"Solanum acaule Bitter",-67.3,-17.05
"Solanum acaule Bitter",-66.12,-22.07
"Solanum acaule f. acaule",-65.45,-23.16667
"Solanum acaule subsp. aemulans",-65.13333,-23.6
"Solanum acaule f. acaule",-66.16667,-17.3
"Solanum acaule f. acaule",-68.7833,-15.8666
"Solanum acaule Bitter",-67.32,-24.61
"Solanum acaule f. acaule",-66.91667,-17.98333
"Solanum acaule f. acaule",-64.98333,-21.45
"solanum acaule acaule BITTER",-70.7719,-15.7477
"Solanum acaule f. acaule",-64.95,-23.55
"solanum acaule acaule",-65,-21.833
"Solanum acaule f. acaule",-65.63333,-23.96667
"solanum acaule acaule",-67.033,-17.817
"Solanum acaule f. acaule",-65.1166,-22.4
"Solanum acaule f. acaule",-65.1,-23.13278
"Solanum acaule f. acaule",-65.16667,-23.1
"Solanum acaule f. acaule",-65.9667,-22.8333
"Solanum acaule f. acaule",-64.91667,-23.2
"Solanum acaule Bitter",-66.43,-24.22
"Solanum acaule f. acaule",-65.23333,-22.33333
"solanum acaule acaule BITTER",-69.35,-15.01
"Solanum acaule",-70.67056,-16.86528
"solanum acaule acaule BITTER",-65.717,-21.333
"Solanum acaule subsp. palmirense",-78.7167,-2.15
"Solanum acaule Bitter",-65.27,-22.23
"solanum acaule acaule BITTER",-65.717,-17.433
"solanum acaule acaule BITTER",-74.3833,-14.6666
"solanum acaule acaule",-70.7719,-15.7477
"solanum acaule acaule",-68.417,-17.083
"solanum acaule acaule BITTER",-71.4298,-14.7433
"Solanum acaule f. acaule",-64.86667,-22.28333
"Solanum acaule Bitter",-65.71,-23.73
"Solanum acaule f. acaule",-65.63333,-23.96667
"Solanum acaule f. acaule",-65.31667,-22.93333
"solanum acaule acaule",-71.0463,-14.4747
"Solanum acaule f. acaule",-66.9,-23.0666
"Solanum acaule f. acaule",-70.0333,-15.8333
"Solanum acaule f. acaule",-66.5166,-18.4833
"solanum acaule acaule",-73.2758,-13.8255
"Solanum acaule Bitter",-65.79,-22.11
"Solanum acaule f. acaule",-76.4833,-11.3833
"Solanum acaule subsp. aemulans",-67.7,-28.9667
"solanum acaule acaule",-68.7,-16.0333
"solanum acaule acaule",-77.2,-10.5
"Solanum acaule f. acaule",-65.13333,-23.6
"solanum acaule acaule",-69.0833,-14.7833
"solanum acaule acaule BITTER",-65.717,-21.45
"Solanum acaule f. acaule",-67.5333,-17.7666
"solanum acaule acaule BITTER",-69.0333,-16.25
"solanum acaule acaule BITTER",-74.3666,-15.3666
"Solanum acaule f. acaule",-65.66667,-24.1
"Solanum acaule f. acaule",-72.45,-13.53333
"solanum acaule acaule",-71.4298,-14.7433
"Solanum acaule f. acaule",-68.4833,-17.1833
"Solanum acaule f. acaule",-65.1,-23.63333
"solanum acaule acaule BITTER",-74.12,-14.68
"Solanum acaule f. acaule",-67.9667,-17.1667
"solanum acaule acaule",-76.233,-12.15
"Solanum acaule f. acaule",-64.75,-19.45
"Solanum acaule f. acaule",-66.1333,-22.1
"Solanum acaule Bitter",-68.97,-15.23
"solanum acaule acaule BITTER",-73.5786,-15.5283
"Solanum acaule f. acaule",-71.0667,-14.4667
"solanum acaule acaule",-74.3833,-14.6666
"Solanum acaule f. acaule",-76.23333,-12.15
"Solanum acaule f. acaule",-65.8666,-25.15
"solanum acaule acaule",-69,-16.15
"solanum acaule acaule BITTER",-71.1305,-15.5575
"Solanum acaule f. acaule",-66.65,-17.63333
"Solanum acaule f. acaule",-69.66667,-16.08333
"Solanum acaule f. acaule",-65,-23.1667
"Solanum acaule f. acaule",-74.38333,-14.66667
"Solanum acaule f. acaule",-66.1833,-22.45
"Solanum acaule f. acaule",-65.1,-23.16667
"solanum acaule acaule BITTER",-72.0219,-14.6722
"Solanum acaule subsp. aemulans",-65.2833,-23.7167
"Solanum acaule f. acaule",-65.71667,-17.43333
"Solanum acaule f. acaule",-66.2,-24.65
"Solanum acaule f. acaule",-65.8,-23.8666
"solanum acaule acaule",-68.45,-16.85
"Solanum acaule f. acaule",-65.75,-26.76667
"solanum acaule acaule BITTER",-71.65,-15.12
"solanum acaule acaule BITTER",-68.15,-16.5
"Solanum acaule Bitter",-64.67,-19.25
"solanum acaule acaule",-71.6027,-13.955
"solanum acaule acaule BITTER",-68.7,-15.617
"solanum acaule acaule",-66.533,-17.667
"solanum acaule acaule",-67.083,-18
"solanum acaule acaule",-67.317,-17.05
"solanum acaule acaule BITTER",-68.5666,-16.1666
"solanum acaule acaule",-70.3897,-17.1163
"Solanum acaule f. acaule",-66.03333,-21.88333
"Solanum acaule f. acaule",-67.0833,-18.1667
"solanum acaule acaule BITTER",-70.917,-13.5
"Solanum acaule Bitter",-65.91,-28.02
"solanum acaule acaule",-67.15,-17.567
"Solanum acaule f. acaule",-66.8167,-18.2833
"Solanum acaule f. acaule",-66.11667,-21.88333
"solanum acaule acaule BITTER",-71.6308,-14.9008
"Solanum acaule f. acaule",-66.16667,-17.3
"Solanum acaule f. acaule",-68.6666,-15.7833
"Solanum acaule f. acaule",-68.65,-15.91667
"solanum acaule acaule BITTER",-68.783,-15.867
"Solanum acaule f. acaule",-65.5833,-24.6
"solanum acaule acaule",-66.517,-18.483
"solanum acaule acaule BITTER",-73.0952,-13.6488
"Solanum acaule f. acaule",-65.8667,-25.15
"Solanum acaule f. acaule",-64.95,-23.16667
"solanum acaule acaule BITTER",-65.667,-19.5
"solanum acaule acaule",-65.55,-19.4
"Solanum acaule f. acaule",-70.75,-14.75
"Solanum acaule Bitter",-65.75,-26.41
"Solanum acaule f. acaule",-74.9,-12.7
"Solanum acaule f. acaule",-65.08333,-23.15
"Solanum acaule Bitter",-66.35,-27.53
"solanum acaule acaule BITTER",-76.233,-12.15
"Solanum acaule f. acaule",-64.9,-22.25
"Solanum acaule f. acaule",-66.36667,-17.31667
"Solanum acaule f. acaule",-66.1667,-17.3
"solanum acaule acaule",-65.883,-18.833
"Solanum acaule f. acaule",-66.21667,-24.48333
"Solanum acaule f. acaule",-66.1833,-21.8833
"Solanum acaule subsp. aemulans",-67.7,-28.96667
"Solanum acaule Bitter",-64.95,-17.75
"Solanum acaule f. acaule",-65.8,-23.86667
"Solanum acaule f. acaule",-65.71667,-21.45
"solanum acaule acaule BITTER",-73.2758,-13.8255
"solanum acaule acaule BITTER",-75.7811,-12.7305
"Solanum acaule Bitter",-65.87,-26.61
"Solanum acaule f. acaule",-65.81667,-22.1
"Solanum acaule f. acaule",-66.18333,-21.88333
"Solanum acaule f. acaule",-65.35,-22.4
"Solanum acaule Bitter",-65.29,-23.54
"Solanum acaule f. acaule",-66.03333,-21.88333
"solanum acaule acaule",-75.9,-10.85
"Solanum acaule f. acaule",-65.58333,-19.53333
"Solanum acaule f. acaule",-66.05,-17.25
"Solanum acaule f. acaule",-66.8167,-18.2833
"Solanum acaule f. acaule",-65.0833,-22.4167
"solanum acaule acaule",-70.033,-15.833
"solanum acaule acaule",-65,-21.833
"Solanum acaule f. acaule",-65.55,-24.0333
"Solanum acaule f. acaule",-65.8,-23.8667
"Solanum acaule f. acaule",-66.2,-22.46667
"solanum acaule acaule",-69.45,-16.21
"Solanum acaule f. acaule",-65.23333,-23.58333
"Solanum acaule f. acaule",-67.0833,-18.1666
"solanum acaule acaule BITTER",-67.033,-17.817
"Solanum acaule f. acaule",-66.25,-22.53333
"Solanum acaule f. acaule",-66.9,-17.25
"Solanum acaule Bitter",-65.68,-23.21
"Solanum acaule subsp. aemulans",-65.16667,-23.58333
"solanum acaule acaule",-65.02,-21.83
"Solanum acaule f. acaule",-65.23333,-22.21667
"solanum acaule acaule",-68.583,-17.083
"Solanum acaule f. acaule",-65.35,-22.31667
"Solanum acaule f. acaule",-65.8833,-18.8333
"solanum acaule acaule",-71.6308,-14.9008
"solanum acaule acaule BITTER",-68.5666,-16.1666
"Solanum acaule f. acaule",-65.8,-21.13333
"Solanum acaule Bitter",-66.24,-22.9
"Solanum acaule f. acaule",-65.75,-26.76667
"solanum acaule acaule BITTER",-68.5666,-16.1666
"solanum acaule acaule BITTER",-68.033,-16.55
"Solanum acaule f. acaule",-67.86667,-17.03333
"solanum acaule acaule",-75.433,-11.7
"solanum acaule acaule",-74.3833,-14.6666
"solanum acaule acaule BITTER",-70.3897,-17.1163
"Solanum acaule f. acaule",-66.33333,-22.25
"solanum acaule acaule",-71.6308,-14.9008
"Solanum acaule f. acaule",-65.43333,-22.96667
"solanum acaule acaule",-66.367,-17.317
"Solanum acaule f. acaule",-66.9,-23.0667
"solanum acaule acaule",-66.817,-18.283
"Solanum acaule f. acaule",-65.6333,-23.9666
"solanum acaule acaule BITTER",-68.8667,-15.65
"solanum acaule acaule",-65.667,-19.5
"Solanum acaule f. acaule",-65.4333,-22.9667
"Solanum acaule Bitter",-65.74,-26.64
"solanum acaule acaule",-65.717,-17.433
"solanum acaule acaule BITTER",-77.18,-10.07
"solanum acaule acaule BITTER",-77.6552,-7.9902
"Solanum acaule f. acaule",-66.16667,-21.86667
"Solanum acaule f. acaule",-68.4833,-16.8833
"Solanum acaule f. acaule",-64.65,-19.56667
"Solanum acaule subsp. aemulans",-67.7,-28.96667
"Solanum acaule f. acaule",-65.0666,-22.25
"Solanum acaule f. acaule",-65,-23.16667
"solanum acaule acaule",-73.2758,-13.8255
"Solanum acaule f. acaule",-65.2,-23.11667
"Solanum acaule f. acaule",-74.81667,-12.9
"Solanum acaule Bitter",-67,-18.2
"Solanum acaule f. acaule",-65.28333,-23.2
"Solanum acaule f. acaule",-65,-23.1666
"Solanum acaule f. acaule",-66.06667,-22
"Solanum acaule f. acaule",-66.66667,-17.93333
"Solanum acaule f. acaule",-66.6,-18.38333
"Solanum acaule f. acaule",-66.03333,-21.88333
"Solanum acaule f. acaule",-65.63333,-23.95
"Solanum acaule f. acaule",-65.65,-19.4833
"solanum acaule acaule BITTER",-74.12,-14.68
"solanum acaule acaule BITTER",-77.2,-10.5
"solanum acaule acaule",-65.717,-17.433
"Solanum acaule f. acaule",-65.6666,-22.25
"Solanum acaule f. acaule",-68.86667,-16.21667
"Solanum acaule f. acaule",-66.03333,-21.88333
"Solanum acaule f. acaule",-65.6333,-23.9667
"solanum acaule acaule",-69.3,-16.2666
"solanum acaule acaule",-69.5513,-15.1182
"Solanum acaule f. acaule",-65.05,-22.21667
"Solanum acaule f. acaule",-70.03333,-15.83333
"Solanum acaule f. acaule",-71.76667,-15.2
"Solanum acaule f. acaule",-68.7,-16.55
"solanum acaule acaule",-76.62,-11.8
"Solanum acaule f. acaule",-65.21667,-22.25
"Solanum acaule f. acaule",-66.13333,-22.1
"Solanum acaule",-65.9,-18.8166
"solanum acaule acaule BITTER",-65.717,-19.5
"solanum acaule acaule",-65.65,-19.483
"Solanum acaule f. acaule",-64.95,-23.16667
"solanum acaule acaule",-65.23,-20.63
"solanum acaule acaule",-70.78,-14.6
"Solanum acaule f. acaule",-66.5,-17.1666
"Solanum acaule f. acaule",-68.5833,-17.0833
"Solanum acaule f. acaule",-65.7166,-17.4333
"Solanum acaule f. acaule",-65.43333,-22.96667
"Solanum acaule f. acaule",-71.4,-14.4833
"solanum acaule acaule",-76.3,-12.2
"Solanum acaule f. acaule",-65.06667,-19.63333
"solanum acaule acaule",-74.383,-14.667
"solanum acaule acaule BITTER",-67.15,-17.367
"solanum acaule acaule",-76.233,-12.15
"Solanum acaule subsp. acaule",-66.65,-17.616667
"solanum acaule acaule BITTER",-66.517,-18.483
"solanum acaule acaule",-68.8667,-15.65
"Solanum acaule subsp. aemulans",-65.2,-23.5833
"solanum acaule acaule BITTER",-65.883,-18.8
"Solanum acaule f. acaule",-65.35,-22.3
"Solanum acaule f. acaule",-66.1166,-21.8833
"Solanum acaule f. acaule",-66.2,-24.53333
"Solanum acaule f. acaule",-66.95,-18.6333
"Solanum acaule f. acaule",-74.3833,-14.6666
"solanum acaule acaule",-65.02,-21.85
"Solanum acaule f. acaule",-65.08333,-22.26667
"solanum acaule acaule",-74.9833,-12.7666
"Solanum acaule f. acaule",-67.4833,-17.5333
"solanum acaule acaule",-68.85,-17.033
"Solanum acaule f. acaule",-71.4333,-15.65
"solanum acaule acaule BITTER",-74.12,-14.68
"Solanum acaule f. acaule",-65.6333,-23.95
"Solanum acaule f. acaule",-67,-18.0666
"solanum acaule acaule",-65.717,-21.45
