"species","x","y"
"Solanum acaule f. acaule",-66.2,-24.65
"Solanum acaule f. acaule",-66.18333,-21.88333
"solanum acaule acaule",-76.2683,-11.7063
"Solanum acaule f. acaule",-65.7666,-25.1666
"Solanum acaule f. acaule",-65.3833,-22.1667
"Solanum acaule f. acaule",-65.75,-26.76667
"Solanum acaule f. acaule",-66.18333,-22.45
"solanum acaule acaule",-72.933,-13.5
"Solanum acaule subsp. punae",-74.85,-12.85
"Solanum acaule f. acaule",-65.35,-22.4
"solanum acaule acaule BITTER",-69.8833,-15.8833
"Solanum acaule f. acaule",-67.6167,-17.1167
"solanum acaule acaule",-68.667,-15.933
"Solanum acaule f. acaule",-66.25,-22.53333
"Solanum acaule f. acaule",-67.7,-28.9666
"solanum acaule acaule BITTER",-66.9,-17.25
"Solanum acaule",-65.9,-18.8167
"solanum acaule acaule BITTER",-70.05,-15.5333
"solanum acaule acaule",-66.467,-17.667
"Solanum acaule f. acaule",-65.83333,-25.33333
"Solanum acaule f. acaule",-65.21667,-22.23333
"solanum acaule acaule",-69.0333,-16.25
"Solanum acaule f. acaule",-70.75,-14.75
"solanum acaule acaule",-65.02,-21.85
"Solanum acaule f. acaule",-67.6167,-18.15
"Solanum acaule Bitter",-66.89,-27.09
"Solanum acaule f. acaule",-66.1167,-21.8833
"solanum acaule acaule",-70.917,-13.5
"Solanum acaule f. acaule",-66.05,-17.25
"solanum acaule acaule",-71.6308,-14.9008
"solanum acaule acaule BITTER",-67.15,-17.567
"solanum acaule acaule BITTER",-69,-16.15
"Solanum acaule f. acaule",-68.8166,-16.8833
"Solanum acaule f. acaule",-65.8833,-18.8
"Solanum acaule subsp. aemulans",-65.2,-23.58333
"Solanum acaule f. acaule",-65.2167,-22.25
"solanum acaule acaule",-73.2758,-13.8255
"Solanum acaule f. acaule",-67.15,-17.36694
"Solanum acaule f. acaule",-65.28333,-22.15
"solanum acaule acaule BITTER",-72.0419,-14.2822
"Solanum acaule f. acaule",-66.18333,-21.88333
"solanum acaule acaule",-69.5513,-15.1182
"Solanum acaule f. acaule",-65.2,-23.58333
"Solanum acaule f. acaule",-65.51667,-22.93333
"Solanum acaule f. acaule",-65.13333,-21.78333
"Solanum acaule Bitter",-65.08,-23.33
"Solanum acaule f. acaule",-65.5833,-24.6
"Solanum acaule f. acaule",-65.4166,-22.25
"solanum acaule acaule BITTER",-75.9158,-11.2927
"Solanum acaule f. acaule",-66.3166,-22.25
"solanum acaule acaule BITTER",-73.2758,-13.8255
"solanum acaule acaule",-69.35,-15.01
"Solanum acaule f. acaule",-68.4833,-16.8833
"solanum acaule acaule",-76.7661,-10.5744
"solanum acaule acaule BITTER",-66.883,-18.7
"Solanum acaule f. acaule",-65.5833,-23.9167
"Solanum acaule Bitter",-65.39,-23.07
"Solanum acaule f. acaule",-77.35,-9.66667
"Solanum acaule Bitter",-65.39,-23.07
"solanum acaule acaule",-72.0219,-14.6722
"Solanum acaule f. acaule",-65.1,-23.63333
"solanum acaule acaule",-73.5786,-15.5283
"solanum acaule acaule",-65.717,-21.333
"Solanum acaule f. acaule",-66.83333,-17.41667
"solanum acaule acaule",-74.12,-14.68
"solanum acaule acaule BITTER",-66.5,-17.167
"solanum acaule acaule",-71.1413,-15.0108
"solanum acaule acaule BITTER",-75.89,-11.51
"solanum acaule acaule",-68.367,-16.767
"Solanum acaule f. acaule",-65.0666,-19.6333
"Solanum acaule f. acaule",-66.03333,-22.3
"solanum acaule acaule",-73.5786,-15.5283
"Solanum acaule Bitter",-65.87,-26.61
"Solanum acaule f. acaule",-75.43333,-11.7
"Solanum acaule Bitter",-65.87,-26.61
"solanum acaule acaule BITTER",-70.3645,-14.4892
"solanum acaule acaule",-73.5786,-15.5283
"Solanum acaule f. acaule",-66.11667,-24.31667
"solanum acaule acaule BITTER",-72.933,-13.5
"Solanum acaule f. acaule",-65.48333,-22.13333
"Solanum acaule f. acaule",-76.25,-12.45
"Solanum acaule Bitter",-67.47,-16.87
"Solanum acaule f. acaule",-66.2,-22.46667
"Solanum acaule f. acaule",-76.4833,-11.3833
"Solanum acaule f. acaule",-65.3833,-22.1666
"Solanum acaule f. acaule",-65.8833,-18.8333
"Solanum acaule f. acaule",-76.08333,-10.66667
"Solanum acaule f. acaule",-68.3666,-16.7666
"solanum acaule acaule BITTER",-70.2666,-15.5333
"Solanum acaule f. acaule",-65.0833,-21.75
"solanum acaule acaule",-70.6058,-15.7
"Solanum acaule f. acaule",-70.03333,-15.83333
"Solanum acaule f. acaule",-66.31667,-22.25
"solanum acaule acaule BITTER",-74.383,-14.667
"Solanum acaule f. acaule",-68.76667,-16.01667
"Solanum acaule f. acaule",-66.2,-22.46667
"Solanum acaule f. acaule",-65.2,-23.58333
"solanum acaule acaule",-68.767,-16.017
"solanum acaule acaule BITTER",-75.958,-11.46
"Solanum acaule f. acaule",-68.1167,-16.3667
"Solanum acaule Bitter",-65.63,-23.68
"Solanum acaule Bitter",-66,-17.42
"solanum acaule acaule BITTER",-69.5513,-15.1182
"solanum acaule acaule BITTER",-76.2683,-11.7063
"Solanum acaule f. acaule",-67.5,-18.0833
"solanum acaule acaule BITTER",-76.3,-76.3
"solanum acaule acaule BITTER",-69.7833,-15.95
"Solanum acaule Bitter",-65.39,-23.07
"Solanum acaule f. acaule",-65.8667,-25.1667
"Solanum acaule f. acaule",-65.11667,-23.11667
"Solanum acaule f. acaule",-66.1833,-22.45
"solanum acaule acaule",-68.15,-16.5
"Solanum acaule f. acaule",-68.8167,-16.8833
"Solanum acaule f. acaule",-68.85,-17.03333
"Solanum acaule f. acaule",-65.68333,-26.86667
"solanum acaule acaule",-70.15,-15.45
"Solanum acaule f. acaule",-65.1,-23.13278
"solanum acaule acaule",-77.18,-10.07
"Solanum acaule Bitter",-68.6,-17.17
"solanum acaule acaule BITTER",-67.317,-17.05
"Solanum acaule f. acaule",-64.68333,-19.51667
"solanum acaule acaule BITTER",-76.0333,-10.9166
"Solanum acaule f. acaule",-66.2,-22.5
"Solanum acaule f. acaule",-65.65,-24.08333
"Solanum acaule f. acaule",-65.75,-22.1333
"solanum acaule acaule",-75.9158,-11.2927
"solanum acaule acaule",-66.5,-17.167
"Solanum acaule f. acaule",-65.75,-22.1333
"Solanum acaule f. acaule",-66.81667,-17.78333
"solanum acaule acaule",-67.333,-17.083
"Solanum acaule f. acaule",-68.7667,-16.5
"solanum acaule acaule",-68.783,-15.867
"Solanum acaule f. acaule",-65.2833,-22.2333
"Solanum acaule f. acaule",-66.1167,-21.8833
"solanum acaule acaule BITTER",-76.3166,-11.4
"solanum acaule acaule BITTER",-68.7,-16.55
"Solanum acaule f. acaule",-65.1,-22.78333
"Solanum acaule f. acaule",-66.1833,-21.8833
"Solanum acaule f. acaule",-69.0333,-16.25
"solanum acaule acaule BITTER",-65.667,-19.633
"Solanum acaule Bitter",-65.92,-22.92
"Solanum acaule Bitter",-68.97,-15.25
"solanum acaule acaule BITTER",-76.7661,-10.5744
"solanum acaule acaule BITTER",-65.883,-18.833
"Solanum acaule f. acaule",-65.28333,-22.23333
"Solanum acaule f. acaule",-65.4333,-22.9666
"Solanum acaule f. acaule",-67.03333,-17.61667
"solanum acaule acaule BITTER",-69.3,-16.2666
"Solanum acaule subsp. aemulans",-67.7,-28.9667
"Solanum acaule subsp. aemulans",-65.1333,-23.6
"solanum acaule acaule BITTER",-68.583,-17.083
"Solanum acaule f. acaule",-65.2,-23.58333
"Solanum acaule f. acaule",-68.7,-16.55
"Solanum acaule f. acaule",-66.15,-21.9166
"Solanum acaule f. acaule",-66.85,-26.7833
"solanum acaule acaule",-77.43,-9.75
"Solanum acaule f. acaule",-66.1833,-22.4333
"Solanum acaule f. acaule",-65.86667,-25.13333
"solanum acaule acaule",-68.7,-16.55
"Solanum acaule f. acaule",-65.28333,-22.93333
"solanum acaule acaule BITTER",-70.1229,-15.6918
"Solanum acaule f. acaule",-74.3833,-14.6667
"Solanum acaule f. acaule",-67.83333,-28.7
"Solanum acaule f. acaule",-65.75,-26.78278
"Solanum acaule f. acaule",-65.96667,-22.83333
"Solanum acaule subsp. aemulans",-65.2,-23.58333
"Solanum acaule f. acaule",-74.38333,-14.66667
"solanum acaule acaule BITTER",-68.417,-17.083
"Solanum acaule f. acaule",-66.2166,-24.4833
"Solanum acaule Bitter",-66.13,-17.38
"Solanum acaule f. acaule",-65.7,-23.2167
"Solanum acaule f. acaule",-65.1,-23.6333
"Solanum acaule Bitter",-67.72,-28.98
"Solanum acaule f. acaule",-66.8166,-18.2833
"Solanum acaule f. acaule",-69.96667,-15.3
"Solanum acaule f. acaule",-65.2,-23.58333
"Solanum acaule f. acaule",-65.73333,-26.75
"Solanum acaule f. acaule",-65.4333,-22.1166
"Solanum acaule f. acaule",-68.7833,-15.8667
"Solanum acaule f. acaule",-65.7667,-25.1667
"Solanum acaule f. acaule",-65.1833,-23.6
"solanum acaule acaule",-68.117,-16.367
"solanum acaule acaule",-76.233,-12.15
"Solanum acaule Bitter",-68.8,-16.23
"Solanum acaule f. acaule",-64.95,-23.16667
"Solanum acaule f. acaule",-68.3667,-16.7667
"Solanum acaule f. acaule",-65.41667,-22.25
"Solanum acaule Bitter",-65.29,-23.54
"Solanum acaule f. acaule",-65.55,-24.03278
"solanum acaule acaule",-66.883,-18.7
"solanum acaule acaule",-65.717,-19.5
"solanum acaule acaule BITTER",-74.1561,-14.7019
"solanum acaule acaule",-75.958,-11.46
"solanum acaule acaule",-68.5666,-16.1666
"Solanum acaule subsp. aemulans",-65.1666,-23.5833
"solanum acaule acaule",-71.35,-15.98
"Solanum acaule subsp. aemulans",-67.7,-28.9667
"Solanum acaule f. acaule",-65.2,-21.81667
"Solanum acaule f. acaule",-66.5167,-18.4833
"Solanum acaule Bitter",-68.62,-15.92
"Solanum acaule Bitter",-65.39,-23.07
"solanum acaule acaule",-75.9,-10.85
"Solanum acaule subsp. aemulans",-67.7,-28.96667
"Solanum acaule Bitter",-68.12,-16.22
"Solanum acaule f. acaule",-66.1,-21.8833
"Solanum acaule subsp. aemulans",-67.8,-28.93333
"solanum acaule acaule BITTER",-69.967,-15.3
"solanum acaule acaule",-71.65,-15.12
"solanum acaule acaule BITTER",-71.6308,-14.9008
"Solanum acaule f. acaule",-68.7,-16.5666
"Solanum acaule f. acaule",-65.7,-23.58333
"Solanum acaule Bitter",-65.87,-26.61
"Solanum acaule Bitter",-65.7,-22.73
"solanum acaule acaule BITTER",-69.35,-15.01
"Solanum acaule f. acaule",-68.6667,-15.7833
"Solanum acaule f. acaule",-67.7,-17.1167
"Solanum acaule Bitter",-66.12,-22.07
"solanum acaule acaule BITTER",-69.6056,-14.4386
"Solanum acaule f. acaule",-64.73333,-19.45
"Solanum acaule f. acaule",-65.75,-22.13333
"Solanum acaule f. acaule",-69.75,-15.23333
"Solanum acaule f. acaule",-65.3166,-22.9333
"Solanum acaule f. acaule",-65.1,-23.1333
"Solanum acaule f. acaule",-67.88333,-17.05
"Solanum acaule f. acaule",-66.5,-17.16667
"Solanum acaule f. acaule",-65,-21.83333
"solanum acaule acaule BITTER",-68.767,-16.017
"Solanum acaule f. acaule",-65.7,-22.1167
"solanum acaule acaule BITTER",-66.5,-17.167
"Solanum acaule f. acaule",-66.8166,-18.2833
"solanum acaule acaule",-66.5,-17.167
"Solanum acaule f. acaule",-65.28333,-22.15
"Solanum acaule f. acaule",-65.9666,-22.8333
"solanum acaule acaule BITTER",-70.033,-15.833
"Solanum acaule f. acaule",-65.4167,-22.25
"solanum acaule acaule",-68.5666,-16.1666
"Solanum acaule f. acaule",-68.7,-16.55
"Solanum acaule Bitter",-65.87,-26.61
"Solanum acaule f. acaule",-65.6667,-24.1
"Solanum acaule f. acaule",-66.18333,-22.43333
"Solanum acaule f. acaule",-66.2,-24.5
"Solanum acaule f. acaule",-66.1166,-21.8833
"Solanum acaule f. acaule",-65.3,-22.23333
"Solanum acaule f. acaule",-68.4833,-17.1833
"solanum acaule acaule BITTER",-68.917,-15.733
"solanum acaule acaule",-73.783,-14.567
"Solanum acaule f. acaule",-64.98333,-23.15
"solanum acaule acaule",-69.7833,-15.95
"Solanum acaule f. acaule",-67.38333,-17.33333
"Solanum acaule Bitter",-71,-13.5
"Solanum acaule f. acaule",-63.4,-23.66667
"solanum acaule acaule",-69.5513,-15.1182
"solanum acaule acaule BITTER",-70.1229,-15.6918
"Solanum acaule subsp. aemulans",-67.8333,-28.7
"Solanum acaule f. acaule",-66.2,-24.65
"Solanum acaule subsp. aemulans",-65.1666,-23.5833
"solanum acaule acaule",-65.05,-21.633
"solanum acaule acaule BITTER",-65.02,-21.83
"solanum acaule acaule",-65.667,-19.633
"Solanum acaule f. acaule",-65.1,-23.6333
"Solanum acaule Bitter",-65.87,-26.61
"Solanum acaule f. acaule",-64.9,-22.25
"solanum acaule acaule",-71.0497,-15.0319
"Solanum acaule Bitter",-65.42,-19.55
"solanum acaule acaule BITTER",-67.8,-17.2
"Solanum acaule subsp. acaule",-68.6,-17.016666
"solanum acaule acaule",-74.383,-14.667
"Solanum acaule f. acaule",-65.03333,-21.56667
"Solanum acaule f. acaule",-65.38333,-22.16667
"Solanum acaule f. acaule",-66.5166,-18.4833
"solanum acaule acaule",-75.935,-11.19
"solanum acaule acaule BITTER",-74.12,-14.68
"Solanum acaule Bitter",-68.85,-17.42
"Solanum acaule Bitter subsp. aemulans (Bitt. et Wittm.) Hawkes et Hjerting",-65.63,-23.68
"solanum acaule acaule BITTER",-76.3,-12.2
"Solanum acaule Bitter",-72.07,-13.35
"Solanum acaule f. acaule",-66.4667,-17.6667
"Solanum acaule Bitter",-65.7,-22.73
"Solanum acaule f. acaule",-66.05,-17.25
"solanum acaule acaule",-76.0333,-10.9166
"Solanum acaule subsp. aemulans",-67.7,-28.9666
"solanum acaule acaule",-66.05,-17.233
"Solanum acaule Bitter",-65.71,-23.73
"Solanum acaule f. acaule",-65.0667,-22.25
"Solanum acaule f. acaule",-66.1,-21.8833
"Solanum acaule Bitter",-65.28,-22.89
"solanum acaule acaule",-69.967,-15.3
"solanum acaule acaule",-76.3166,-11.4
"solanum acaule acaule",-73.75,-14.6333
"Solanum acaule Bitter",-65.87,-26.61
"solanum acaule acaule BITTER",-68.7667,-16.0167
"Solanum acaule f. acaule",-69.0333,-16.25
"Solanum acaule f. acaule",-65.5333,-23.6167
"Solanum acaule f. acaule",-65.63333,-23.96667
"solanum acaule acaule BITTER",-74.9833,-12.7666
"solanum acaule acaule BITTER",-75.9,-10.85
"Solanum acaule f. acaule",-65.05,-21.51667
"solanum acaule acaule BITTER",-75.9,-10.85
"solanum acaule acaule",-66.9,-17.25
"solanum acaule acaule",-70.05,-15.5333
"Solanum acaule f. acaule",-70.9666,-14.4833
"Solanum acaule f. acaule",-66.11667,-21.88333
"solanum acaule acaule",-67.633,-18.083
"Solanum acaule f. acaule",-65.7167,-17.4333
"solanum acaule acaule BITTER",-69.35,-15.01
"Solanum acaule f. acaule",-65.7,-22.11667
"Solanum acaule f. acaule",-66.4666,-17.6666
"Solanum acaule f. acaule",-71.76667,-15.2
"solanum acaule acaule BITTER",-71.65,-15.12
"Solanum acaule f. acaule",-66.2,-22.5
"solanum acaule acaule BITTER",-69.08,-16.23
"solanum acaule acaule BITTER",-73.2758,-13.8255
"Solanum acaule f. acaule",-65.95,-22.1
"solanum acaule acaule",-69.35,-15.01
"Solanum acaule subsp. aemulans",-67.8,-28.9333
"Solanum acaule subsp. acaule",-65.75,-19.583334
"solanum acaule acaule BITTER",-68.667,-15.933
"solanum acaule acaule BITTER",-76.233,-12.15
"Solanum acaule f. acaule",-68.63333,-15.93333
"Solanum acaule f. acaule",-64.73333,-19.45
"Solanum acaule subsp. palmirense",-78.7166,-2.15
"solanum acaule acaule BITTER",-70.78,-14.6
"Solanum acaule f. acaule",-65.7,-23.21667
"Solanum acaule f. acaule",-66.2167,-24.4833
"solanum acaule acaule BITTER",-70.7719,-15.7477
"solanum acaule acaule BITTER",-73.783,-14.567
"Solanum acaule f. acaule",-65.16667,-23.1
"Solanum acaule f. acaule",-66.95,-18.6333
"solanum acaule acaule BITTER",-68.117,-16.367
"solanum acaule acaule",-72.1772,-15.7677
"Solanum acaule f. acaule",-66.1,-21.8833
"Solanum acaule f. acaule",-65.43333,-22.96667
"solanum acaule acaule BITTER",-67.4,-17.1
"solanum acaule acaule BITTER",-68.49,-16.84
"Solanum acaule subsp. aemulans",-65.28333,-23.71667
"Solanum acaule f. acaule",-66.18333,-21.88333
"Solanum acaule Bitter",-65.27,-22.23
"Solanum acaule f. acaule",-66.03333,-21.88333
"Solanum acaule f. acaule",-65.28333,-23.71667
"Solanum acaule f. acaule",-66.36667,-18.01667
"Solanum acaule f. acaule",-67,-17.65
"Solanum acaule",-71.42222,-15.65194
"solanum acaule acaule BITTER",-68.367,-16.767
"Solanum acaule Bitter",-68.77,-17.12
"Solanum acaule f. acaule",-66.2,-24.5
"Solanum acaule f. acaule",-71.98333,-13.51667
"Solanum acaule subsp. aemulans",-67.7,-28.9667
"Solanum acaule f. acaule",-68.15,-16.5
"solanum acaule acaule BITTER",-65.65,-19.483
"solanum acaule acaule BITTER",-65.717,-17.433
"solanum acaule acaule",-69.6056,-14.4386
"solanum acaule acaule BITTER",-66.333,-18.283
"solanum acaule acaule BITTER",-65.55,-19.4
"Solanum acaule Bitter",-65.23,-21.8
"Solanum acaule f. acaule",-67.7,-17.1166
"solanum acaule acaule BITTER",-66.817,-18.283
"solanum acaule acaule BITTER",-77.18,-10.07
"solanum acaule acaule",-74.12,-14.68
"solanum acaule acaule BITTER",-74.12,-14.68
"Solanum acaule f. acaule",-66.1166,-21.8833
"Solanum acaule f. acaule",-66.5167,-18.4833
"Solanum acaule f. acaule",-74.85,-12.85
"solanum acaule acaule BITTER",-68.86,-15.83
"Solanum acaule subsp. aemulans",-65.2,-23.5833
"Solanum acaule f. acaule",-66.03333,-21.88333
"solanum acaule acaule BITTER",-76.0333,-10.9166
"Solanum acaule Bitter",-65.27,-23.58
"solanum acaule acaule BITTER",-66.167,-17.3
"solanum acaule acaule BITTER",-65.717,-21.45
"Solanum acaule f. acaule",-70.91667,-13.5
"Solanum acaule f. acaule",-65.43333,-22.96667
"Solanum acaule f. acaule",-65.35,-22.4
"Solanum acaule f. acaule",-66.85,-26.7833
"Solanum acaule f. acaule",-67.6,-18.3333
"Solanum acaule f. acaule",-65.85,-23.5833
"Solanum acaule f. acaule",-70.9667,-14.4833
"solanum acaule acaule BITTER",-71.1413,-15.0108
"solanum acaule acaule",-65.667,-19.633
"Solanum acaule f. acaule",-65.6333,-23.9666
"solanum acaule acaule",-70.1229,-15.6918
"Solanum acaule f. acaule",-77.2,-9.86667
"Solanum acaule Bitter",-71.03,-13.48
"solanum acaule acaule",-74.12,-14.68
"solanum acaule acaule",-68.7,-15.617
"Solanum acaule f. acaule",-76.61667,-7.46667
"Solanum acaule f. acaule",-76.23333,-12.15
"Solanum acaule f. acaule",-65.08333,-22.41667
"solanum acaule acaule",-68.86,-15.83
"solanum acaule acaule BITTER",-74.3833,-14.6666
"Solanum acaule subsp. acaule",-68.666664,-17.05
"solanum acaule acaule BITTER",-69.0833,-16.15
"Solanum acaule f. acaule",-65.9,-25.2833
"Solanum acaule f. acaule",-65.6333,-23.9667
"Solanum acaule f. acaule",-68.7,-16.55
"Solanum acaule f. acaule",-65.81667,-18.86667
"Solanum acaule f. acaule",-65.85,-23.5833
"Solanum acaule f. acaule",-65.95,-19.6
"Solanum acaule f. acaule",-65.55,-24.0333
"Solanum acaule f. acaule",-64.75,-19.45
